problem_id,template_id,variation_id,input,expected_answer,model_response,is_correct,error_type
PROB_001,tmpl_1,var_1,Solve: What is the probability of rolling a 6 on a fair die?,1/6,1/6,True,CORRECT
PROB_001,tmpl_1,var_2,Solve: What is the probability of rolling a 6 on a fair die? (as decimal),0.167,1/6,True,CORRECT
PROB_001,tmpl_2,var_1,Compute: What is the probability of rolling a 6 on a fair die?,1/6,1/6,True,CORRECT
PROB_001,tmpl_2,var_2,Compute: What is the probability of rolling a 6 on a fair die? (as decimal),0.167,0.25,False,CALCULATION_ERROR
PROB_001,tmpl_3,var_1,Evaluate: What is the probability of rolling a 6 on a fair die?,1/6,1/6,True,CORRECT
PROB_001,tmpl_3,var_2,Evaluate: What is the probability of rolling a 6 on a fair die? (as decimal),0.167,0.25,False,CALCULATION_ERROR
PROB_002,tmpl_1,var_1,Solve: What is the probability of flipping heads on a fair coin?,1/2,0.5,True,CORRECT
PROB_002,tmpl_1,var_2,Solve: What is the probability of flipping heads on a fair coin? (as decimal),0.5,0.5,True,CORRECT
PROB_002,tmpl_2,var_1,Compute: What is the probability of flipping heads on a fair coin?,1/2,0.5,True,CORRECT
PROB_002,tmpl_2,var_2,Compute: What is the probability of flipping heads on a fair coin? (as decimal),0.5,0.5,True,CORRECT
PROB_002,tmpl_3,var_1,Evaluate: What is the probability of flipping heads on a fair coin?,1/2,0.5,True,CORRECT
PROB_002,tmpl_3,var_2,Evaluate: What is the probability of flipping heads on a fair coin? (as decimal),0.5,0.5,True,CORRECT
PROB_003,tmpl_1,var_1,Solve: What is the probability of drawing a heart from a standard deck?,1/4,1/13,False,WRONG_FRACTION
PROB_003,tmpl_1,var_2,Solve: What is the probability of drawing a heart from a standard deck? (as decimal),0.25,0.2,False,CLOSE_ERROR
PROB_003,tmpl_2,var_1,Compute: What is the probability of drawing a heart from a standard deck?,1/4,1/13,False,WRONG_FRACTION
PROB_003,tmpl_2,var_2,Compute: What is the probability of drawing a heart from a standard deck? (as decimal),0.25,0.2,False,CLOSE_ERROR
PROB_003,tmpl_3,var_1,Evaluate: What is the probability of drawing a heart from a standard deck?,1/4,1/13,False,WRONG_FRACTION
